	af_id	af_hidden	af_global	af_enabled	af_deleted	af_throttled	af_group	af_timestamp	af_actions	af_hit_count	af_public_comments	manual_tags	notes
0	61	0	0	1	0	0	default	20170514124327	tag	1611956	New user removing references	good_faith	probably
1	135	0	0	1	0	0	default	20150225210144	warn,tag	1371361	Repeating characters	vandalism	
2	527	1	0	1	0	0	default	20161204020134	throttle	1241576	T34234: log/throttle possible sleeper account creations	vandalism/	needs subtag? Account creation != defacing content
3	384	0	0	1	0	0	default	20181018171832	disallow	1159239	Addition of bad words or other vandalism	vandalism	
4	172	0	0	1	0	0	default	20170514124339	tag	935925	Section blanking	good_faith	
5	30	0	0	1	0	0	default	20181018234235	warn,tag	840871	Large deletion from article by new editors	good_faith	
6	633	0	0	1	0	0	default	20181218191236	tag	808716	Possible canned edit summary	good_faith/lazyness	
7	636	0	0	1	0	0	default	20181231024947	warn	726764	Unexplained removal of sourced content	vandalism/good_faith	the warning suggests, editors should add edit summary
8	3	0	0	1	0	0	default	20181018194624	warn,tag	700522	New user blanking articles	good_faith	
9	650	0	0	1	0	0	default	20160721182156		695601	Creation of a new article without any categories	good_faith	
10	279	0	0	1	0	0	default	20190104180929	throttle,tag	616212	Repeated attempts to vandalize	vandalism	
11	432	0	0	1	0	0	default	20160614010135	warn,tag	558578	Starting new line with lowercase letters	good_faith/lazyness	needs subtag? For people not adhering to grammar/orthography norms/encyclopedia style
12	225	0	0	1	0	0	default	20180807154519	disallow	482872	Vandalism in all caps	vandalism	
13	50	0	0	1	0	0	default	20181018234925	warn,tag	480960	Shouting	vandalism/good_faith	or other subtag
14	189	0	0	1	0	0	default	20160629222729	tag	466012	BLP vandalism or libel	vandalism/harassment	
15	132	0	0	1	0	0	default	20170514124337	warn,tag	420273	Removal of all categories	vandalism/good_faith	“new editor” may mean good faith (i.e. person not familiar with norms) but also vandalism (freshly created account for the specific purpose of libel)
16	380	1	0	1	0	0	default	20181103012136	disallow	394328	Multiple obscenities	vandalism/harassment	since filter is hidden, not clear in which name space are the targeted edits
17	231	0	0	1	0	0	default	20181203165338	warn,tag	380302	Long string of characters containing no spaces	vandalism	will not be true for German^^
18	364	1	0	1	0	0	default	20170514124359	tag	368604	Changing the name in a BLP infobox	vandalism	no “good_faith” tag since filter is hidden
19	46	0	0	1	0	0	default	20181023193500	disallow	356945	"""Poop"" vandalism"	vandalism	
20	98	0	0	1	0	0	default	20180802160245	tag	339401	Creating very short new article	good_faith	
21	220	0	0	1	0	0	default	20170514124344	warn,tag	303179	Adding external images/links	misc	why is this a problem? Bc external resources may be broken? Or get removed? Or violate copyright (is this a  valid concern for *external* resources?)
22	260	0	0	1	0	0	default	20181130204255	disallow	286852	Common vandal phrases	vandalism	
23	686	0	0	1	0	0	default	20170925141542		282934	IP adding possibly unreferenced material to BLP	vandalism/harassment/biased_pov	need an extra tag for biased point of view
24	148	0	0	1	0	0	default	20160222132707	tag	242321	Users creating autobiographies	biased_pov	
