afa_filter,afa_consequence,afa_parameters
3,tag,blanking
3,warn,abusefilter-warning-blanking
5,tag,self-renaming and bad user talk moves
5,warn,abusefilter-warning-selfrenaming-and-bad-usertalk-moves
10,disallow,
10,warn,abusefilter-warning-badmove
11,tag,possible vandalism
11,warn,abusefilter-warning
12,disallow,
13,disallow,
13,warn,abusefilter-warning
16,disallow,
16,throttle,"16
3,600
user"
17,tag,possible vandalism
21,blockautopromote,
22,disallow,
29,tag,removal of speedy deletion templates
30,tag,blanking
30,warn,abusefilter-warning-removal
31,disallow,
33,tag,talk page blanking
33,warn,abusefilter-warning-talkblanking
34,disallow,abusefilter-disallowed
36,disallow,
36,warn,abusefilter-warning-advertising
37,disallow,
37,warn,abusefilter-warning
38,disallow,
38,warn,abusefilter-warning
39,tag,possible libel or vandalism
39,warn,abusefilter-warning
42,disallow,
46,disallow,abusefilter-disallowed
47,disallow,
50,tag,shouting
50,warn,abusefilter-warning-shouting
52,disallow,
56,disallow,abusefilter-disallowed
58,disallow,abusefilter-disallowed
59,tag,image template removal
61,tag,references removed
63,disallow,
67,throttle,"67
2,216000
range,page"
68,disallow,abusefilter-warning-badmove
68,throttle,"68
2,900
user"
71,throttle,"71
2,120
user"
73,disallow,
73,throttle,"73
3,6000
user"
73,warn,abusefilter-warning
76,warn,abusefilter-warning-email
77,warn,abusefilter-warning
79,tag,reference list removal
79,warn,abusefilter-warning-ref-group-blanking
80,tag,possible link spam
80,throttle,"80
3,1200
user,ip"
80,warn,abusefilter-warning-link-spam
82,disallow,
83,disallow,
94,disallow,
94,warn,abusefilter-warning
98,tag,very short new article
102,disallow,abusefilter-disallowed
103,warn,abusefilter-warning
104,warn,abusefilter-warning-helpme
109,disallow,
109,warn,abusefilter-warning
110,throttle,"110
6,86400
user"
112,disallow,
113,tag,unusual redirect
113,warn,abusefilter-warning-redirect
114,throttle,"114
9,300
page,user"
115,blockautopromote,
115,throttle,"115
9,300
user"
116,disallow,
117,tag,removal of Category:Living People
123,disallow,
123,warn,abusefilter-warning
124,disallow,
124,warn,abusefilter-warning
130,disallow,
130,warn,abusefilter-warning-advertising
131,disallow,
131,warn,abusefilter-warning-protectedimage
132,tag,categories removed
132,warn,abusefilter-warning-all-categories-removed
135,tag,repeating characters
135,warn,abusefilter-warning-repeated-characters
139,disallow,abusefilter-warning-fixedposition
140,disallow,
142,disallow,
143,disallow,
143,warn,abusefilter-warning-advertising
145,disallow,
148,tag,autobiography
149,tag,coi-spam
149,warn,abusefilter-warning-links-containing-username
153,disallow,
156,disallow,
157,disallow,
158,disallow,
159,disallow,
159,throttle,"159
1,900
user"
160,disallow,
160,warn,abusefilter-warning
162,disallow,
162,warn,abusefilter-warning-advertising
163,tag,unusual redirect
163,warn,abusefilter-warning-badredirect
164,tag,possible cut and paste move
165,disallow,
166,disallow,abusefilter-disallowed
167,warn,abusefilter-warning-AFC
168,warn,abusefilter-warning-unblock-response
169,disallow,
172,tag,Section blanking
174,tag,removal of articles for deletion template
174,warn,abusefilter-warning-removing-xfd-notice
178,disallow,
179,disallow,
180,tag,large unwikified new article
183,warn,abusefilter-warning-AFC2
184,disallow,
184,warn,abusefilter-warning
186,disallow,
189,tag,possible libel or vandalism
190,disallow,
197,warn,abusefilter-warning-duplicate-section
203,disallow,
204,disallow,
209,disallow,
213,disallow,
215,disallow,
215,throttle,"215
1,300
site"
217,disallow,
217,warn,abusefilter-warning
220,tag,bad external
220,warn,abusefilter-warning-external-images
221,disallow,
222,disallow,
223,disallow,
224,tag,removal of copyvio templates
225,disallow,
229,disallow,
229,throttle,"229
3,180
user"
229,warn,abusefilter-warning
230,disallow,
231,tag,nonsense characters
231,warn,abusefilter-warning-nospaces
232,disallow,
233,disallow,
234,disallow,
239,disallow,
242,disallow,
242,throttle,"242
2,180
user"
245,disallow,
247,tag,adding email address
247,warn,abusefilter-warning-email
248,disallow,
249,tag,Rapid reverts
249,throttle,"249
3,300
user,ip"
250,disallow,
253,warn,abusefilter-warning-sign-notalk
257,disallow,
260,disallow,abusefilter-disallowed
261,disallow,
261,throttle,"261
2,90
user"
264,disallow,
267,blockautopromote,
267,disallow,
268,warn,abusefilter-warning
269,disallow,
269,warn,abusefilter-warning
270,tag,Removal of interwiki link
271,warn,abusefilter-warning-spambot-allowed
273,disallow,
279,tag,Possible vandalism
279,throttle,"279
3,300
user,page"
284,disallow,
285,disallow,
286,disallow,
286,warn,abusefilter-warning
287,disallow,
288,disallow,
289,warn,abusefilter-warning-interrogative
293,disallow,
294,disallow,
295,disallow,
296,disallow,
298,warn,abusefilter-warning
299,disallow,
305,disallow,
305,throttle,"305
4,240
user"
306,disallow,
307,disallow,
307,throttle,"307
2,120
user"
307,warn,abusefilter-warning
309,throttle,"309
1,900
user"
310,disallow,
311,disallow,
311,tag,possible libel or vandalism
313,warn,abusefilter-warning-skype
314,warn,abusefilter-warning-slashsuffix
316,throttle,"316
1,180
user,ip"
317,disallow,
317,warn,abusefilter-warning-advertising
318,disallow,
319,disallow,
320,disallow,abusefilter-disallowed
322,throttle,"322
3,1800
user"
323,tag,reverting anti-vandal bot
324,disallow,
325,disallow,
326,disallow,
327,disallow,
329,disallow,
329,warn,abusefilter-warning-SPI
330,warn,abusefilter-warning
331,disallow,
333,disallow,
334,blockautopromote,
334,disallow,
335,disallow,
336,disallow,
337,disallow,
337,warn,abusefilter-warning
339,tag,possible libel or vandalism
341,disallow,
344,warn,abusefilter-warning-blanking
345,tag,Extraneous formatting
345,warn,abusefilter-warning-codespill
346,tag,non-English content
346,warn,abusefilter-warning-large-nonenglish-addition
347,disallow,abusefilter-disallowed
347,throttle,"347
3,300
user,page"
347,warn,abusefilter-warning-repeated
349,disallow,
351,tag,End of page text
351,warn,abusefilter-warning-appended-text
352,disallow,
353,disallow,
354,tag,Possible self promotion in userspace
355,disallow,
359,disallow,
360,disallow,
361,disallow,
363,disallow,
364,tag,possible libel or vandalism
365,disallow,abusefilter-disallowed
368,warn,abusefilter-warning-minoredit
370,disallow,
370,throttle,"370
2,180
user"
372,disallow,
374,disallow,
375,disallow,
378,disallow,
380,disallow,abusefilter-disallowed
381,disallow,
382,disallow,
384,disallow,
385,disallow,
385,throttle,"385
5,120
user"
386,throttle,"386
2,600
ip"
387,disallow,
389,disallow,
389,throttle,"389
2,240
user"
390,disallow,
391,tag,changing height or weight
392,disallow,
395,disallow,
397,disallow,abusefilter-disallowed
398,throttle,"398
4,3600
user"
399,disallow,
400,disallow,
400,throttle,"400
2,600
user"
401,disallow,
404,disallow,
406,throttle,"406
2,300
user"
407,disallow,
411,disallow,
411,warn,abusefilter-warning-editnotice
414,disallow,
415,disallow,
417,disallow,
418,disallow,
419,disallow,
420,disallow,abusefilter-disallowed
420,throttle,"420
1,3600
ip"
422,disallow,
430,disallow,
431,disallow,
432,tag,possible vandalism
432,warn,abusefilter-warning-lowercase-letters
435,warn,abusefilter-warning-protection-template
437,warn,abusefilter-warning
438,warn,abusefilter-warning-AFC-wrong-title
439,disallow,
441,disallow,
442,disallow,
442,throttle,"442
2,1200
user"
444,disallow,
445,disallow,
445,throttle,"445
1,180
user"
446,disallow,
447,disallow,
448,disallow,
451,disallow,
453,disallow,
453,warn,abusefilter-warning-temporary-newuser-template-edit-block
455,disallow,
456,disallow,
456,throttle,"456
1,60
user"
457,disallow,
457,throttle,"457
2,60
user"
458,disallow,
459,disallow,
460,disallow,
461,disallow,
462,disallow,
463,disallow,
464,warn,abusefilter-warning
465,disallow,
466,tag,userspace spam
466,warn,abusefilter-warning
467,disallow,
470,disallow,
473,disallow,
474,disallow,
476,disallow,
477,warn,abusefilter-warning-spambot-newaccount
478,disallow,abusefilter-disallowed
479,warn,abusefilter-warning-example-image
480,disallow,
481,disallow,
484,warn,abusefilter-warning-cluebot-disable
485,warn,abusefilter-warning-malicious-a-tags
486,disallow,
488,disallow,
490,disallow,
491,tag,possible vandalism
491,warn,abusefilter-warning
494,disallow,
495,disallow,
496,disallow,
497,disallow,
500,disallow,
502,disallow,
503,disallow,
506,disallow,
507,disallow,
508,disallow,
509,disallow,
513,disallow,
514,warn,abusefilter-warning-repeated-characters
515,disallow,
515,warn,abusefilter-warning
516,disallow,
517,disallow,
517,throttle,"517
4,600
user"
518,disallow,
520,disallow,
521,disallow,
522,disallow,
523,disallow,
525,disallow,
526,warn,abusefilter-brasilhot100
527,throttle,"527
2,86400
ip"
528,disallow,
529,disallow,
529,warn,abusefilter-chartnews
530,disallow,
531,tag,Removal of all interwiki links
532,tag,Addition of interwiki link
533,disallow,
534,disallow,
535,disallow,
537,disallow,
538,disallow,
539,disallow,
540,disallow,
544,disallow,
546,disallow,
547,disallow,
548,disallow,
549,disallow,
550,tag,nowiki added
551,disallow,
552,disallow,
554,disallow,abusefilter-top100
556,disallow,
557,disallow,
558,disallow,
560,warn,abusefilter-warning
561,disallow,
562,disallow,
564,disallow,
565,warn,abusefilter-warning
566,disallow,
567,disallow,
570,disallow,
571,disallow,
572,disallow,
574,disallow,
576,disallow,
578,disallow,
580,disallow,
585,disallow,
587,disallow,
587,warn,abusefilter-youtube-warning
594,disallow,
595,disallow,abusefilter-disallowed
595,warn,abusefilter-warning
596,disallow,
597,disallow,
598,disallow,
598,warn,abusefilter-warning-temporary-newuser-template-edit-block
600,tag,image added to template
601,disallow,
602,tag,discretionary sanctions alert
602,warn,abusefilter-warning-DS
603,warn,abusefilter-warning
606,warn,abusefilter-ANIbugnotice
608,disallow,
609,disallow,
610,disallow,
611,disallow,
612,disallow,
613,tag,signature added
613,warn,abusefilter-warning-sign-in-article
614,disallow,abusefilter-disallowed
615,disallow,
616,disallow,
616,warn,talk-page restricted
617,disallow,
618,disallow,
621,disallow,
622,disallow,
623,disallow,
627,tag,Possible self promotion in user or draftspace
628,disallow,
630,tag,de-userfying
631,tag,extraneous markup
632,tag,new blank article
633,tag,canned edit summary
634,disallow,
634,warn,abusefilter-MariaJaydHicky
635,warn,abusefilter-warning-otrs
636,warn,abusefilter-unexplained-removal
638,disallow,
639,disallow,abusefilter-disallowed
640,disallow,
640,warn,abusefilter-vevo
641,disallow,
642,disallow,abusefilter-warning-otrs
643,throttle,"643
3,1800
user"
644,disallow,
645,disallow,
648,disallow,abusefilter-disallowed
651,disallow,
651,warn,abusefilter-warning-NoIPedits
652,disallow,
652,warn,abusefilter-warning-NoIPedits
653,disallow,
655,tag,large plot addition
656,disallow,
657,tag,External Link added to disambiguation page
657,warn,abusefilter-warning-EL-in-disambiguation
658,disallow,
659,throttle,"659
3,300
user"
661,disallow,
661,warn,unsourced-award-warning
662,disallow,
663,disallow,
664,warn,abusefilter-warning-test-edit
665,disallow,
666,disallow,
668,disallow,
674,disallow,
675,disallow,
676,disallow,
680,disallow,abusefilter-warning-emoji
681,throttle,"681
1,64
user
ip"
682,disallow,abusefilter-disallowed
684,disallow,
689,tag,possible vandalism
689,warn,abusefilter-warning
690,disallow,
693,disallow,
694,disallow,abusefilter-warning-scribunto-contentmodel
698,disallow,
698,warn,abusefilter-warning-30-500-restriction
702,warn,abusefilter-warning-clipboard-hijacking
706,disallow,
707,disallow,
709,disallow,
710,disallow,
713,disallow,
714,disallow,
715,disallow,
715,warn,abusefilter-warning-ip-edit-confirmed
717,disallow,
718,disallow,
719,disallow,
721,disallow,
725,disallow,
726,disallow,
728,tag,huggle
732,disallow,
734,disallow,
735,tag,possible vandalism
737,disallow,
738,disallow,abusefilter-disallowed
739,disallow,
742,disallow,abusefilter-disallowed
742,throttle,"742
2,120
user,ip"
743,disallow,
746,disallow,
751,disallow,
753,tag,wikilinks removed
756,disallow,abusefilter-disallowed
757,disallow,
759,disallow,
760,disallow,
762,disallow,
762,tag,possible link spam
764,disallow,
765,tag,contenttranslation-needcheck
766,tag,possible vandalism
766,warn,abusefilter-warning
767,disallow,abusefilter-disallowed
768,disallow,
769,disallow,
776,disallow,
779,disallow,
781,disallow,
782,disallow,abusefilter-warning-cx
783,warn,abusefilter-warning-persondata
784,disallow,
787,disallow,
788,disallow,
792,disallow,abusefilter-disallowed
793,disallow,abusefilter-disallowed
795,disallow,
796,disallow,abusefilter-warning-throttled
796,throttle,"796
1,7200
site"
797,disallow,
799,disallow,abusefilter-disallowed
799,throttle,"799
1,1200
page"
800,disallow,
803,disallow,abusefilter-warning-userpage
806,throttle,"806
5,120
user"
808,disallow,
809,disallow,abusefilter-disallowed
811,disallow,
812,disallow,
813,disallow,
815,disallow,
816,disallow,
817,disallow,
818,disallow,
819,throttle,"819
4,330
ip"
820,disallow,
821,disallow,
822,disallow,
824,disallow,
826,disallow,
826,throttle,"826
3,600
user"
827,disallow,
828,disallow,
830,disallow,abusefilter-disallowed
832,disallow,
835,disallow,abusefilter-disallowed
836,disallow,
838,warn,abusefilter-warning-test-edit
842,disallow,
843,disallow,
844,disallow,
845,disallow,
845,warn,abusefilter-warning-NoIPedits
846,tag,Possible disruption
847,disallow,abusefilter-disallowed
850,warn,abusefilter-warning-project-move
852,disallow,
853,disallow,
854,disallow,
855,disallow,abusefilter-disallowed
857,disallow,
859,disallow,abusefilter-disallowed
860,disallow,abusefilter-disallowed
864,disallow,
868,disallow,
869,warn,abusefilter-warning-dailymail
870,disallow,
871,disallow,
872,disallow,
873,disallow,
874,disallow,abusefilter-disallowed
875,warn,abusefilter-warning-spambot-allowed
876,throttle,"876
8,300
ip"
876,warn,abusefilter-warning-spambot-allowed
878,tag,removal of COI template
879,warn,abusefilter-warning-malformed
880,disallow,
881,disallow,
884,disallow,
885,disallow,abusefilter-disallowed
886,disallow,abusefilter-disallowed
886,throttle,"886
1,86400
ip
user"
887,disallow,abusefilter-disallowed-repetitious-username
887,warn,abusefilter-disallowed-repetitious-username
888,disallow,abusefilter-disallowed
889,disallow,abusefilter-disallowed
890,disallow,abusefilter-disallowed-repetitious-username
890,warn,Abusefilter-disallowed-random-typing-username
891,tag,Citing predatory open access journal
891,warn,abusefilter-warning-predatory
892,disallow,abusefilter-warning-proxy-link
894,warn,abusefilter-warning-selfpublished
896,disallow,abusefilter-disallowed
897,disallow,
901,warn,abusefilter-warning-drumpf
903,disallow,abusefilter-disallowed
906,disallow,
909,disallow,abusefilter-disallowed
911,disallow,
912,tag,possible vandalism
912,warn,abusefilter-warning
914,disallow,
916,disallow,
917,disallow,abusefilter-disallowed
919,disallow,
920,throttle,"920
2,600
user,ip"
921,tag,possible vandalism
922,disallow,abusefilter-disallowed
924,disallow,
926,disallow,abusefilter-disallowed
928,warn,abusefilter-warning-transcludinguser
930,disallow,abusefilter-warning-noindexuser
931,disallow,abusefilter-disallowed
931,throttle,"931
2,60
user"
933,disallow,
934,disallow,abusefilter-disallowed
936,disallow,
938,disallow,abusefilter-disallowed
940,disallow,abusefilter-warning-throttled
940,throttle,"940
2,300
page"
941,disallow,abusefilter-disallowed
943,disallow,abusefilter-disallowed
944,disallow,abusefilter-disallowed
945,disallow,abusefilter-disallowed
945,throttle,"945
2,600
site"
946,throttle,"946
5,210
ip"
