afl_filter,count(*)
135,175455
30,160302
61,147377
18,133640
3,95916
172,89710
50,88827
98,80434
65,74098
132,68607
46,47280
225,45462
180,37713
79,36645
189,35683
149,32336
9,28972
129,27780
29,27130
148,24914
231,21507
220,19946
39,18456
80,18189
12,18159
155,17517
106,14513
96,14399
11,14368
28,12264
33,11882
188,11034
76,11033
218,9802
59,7415
113,7157
117,6765
205,6428
97,5973
247,5964
152,5148
77,4807
34,4640
238,3857
249,3690
164,3488
105,3379
260,3322
58,3080
270,3029
176,2820
53,2595
51,2572
81,2550
239,2189
174,2094
236,2093
35,2093
23,2075
163,2073
139,2009
183,1899
52,1738
24,1538
224,1414
194,1309
31,1268
119,1243
253,1015
134,991
7,972
1,922
159,913
233,739
151,721
99,686
146,655
5,584
26,548
195,532
102,522
273,513
68,507
179,504
269,490
215,485
43,480
221,469
167,450
66,406
133,404
82,399
212,372
170,352
268,349
171,333
17,309
261,295
114,293
192,276
177,254
123,247
72,233
103,229
115,225
200,224
258,223
10,222
19,221
210,193
13,188
161,169
213,165
235,157
63,150
104,149
168,148
240,147
125,138
190,134
44,121
144,120
234,117
266,104
166,102
242,102
175,98
78,98
229,90
71,86
140,84
228,82
165,79
131,76
14,63
226,61
4,60
47,59
201,56
193,53
263,50
204,47
178,46
16,44
191,43
48,43
211,39
116,37
154,33
241,32
54,32
264,31
107,30
237,28
25,28
93,27
45,26
209,25
199,25
157,24
94,23
112,21
95,21
141,21
6,19
60,19
101,19
255,18
250,17
259,17
137,17
185,17
55,17
186,17
15,15
37,14
232,14
217,14
219,12
158,11
36,10
248,9
74,9
203,9
153,8
22,8
208,7
108,7
8,7
245,7
257,7
275,6
70,6
214,6
207,6
38,6
57,6
49,5
69,5
109,5
20,5
2,4
127,4
173,4
40,4
244,3
184,3
251,3
243,3
73,2
118,2
162,2
142,1
120,1
196,1
121,1
198,1
145,1
230,1
