afl_filter,count(*)
527,437099
61,274945
650,229083
633,218696
636,179948
384,179871
279,106699
135,95131
172,79843
30,68968
364,64706
380,61757
712,60358
686,58843
432,52203
3,51068
550,45393
189,45233
260,40510
220,40379
752,39174
271,38449
631,33807
231,33124
225,32189
98,31237
50,30644
491,30496
680,30348
80,28652
614,27673
132,27387
46,26926
391,26171
148,25746
29,25473
499,20228
149,19615
466,17677
320,16511
354,15224
79,15215
180,14243
126,13658
247,13153
39,12599
753,11993
716,10948
365,10575
34,8910
12,8826
346,8624
11,8377
339,7702
784,7128
664,6695
711,6520
806,6193
657,6154
627,5859
285,5823
316,4810
174,4623
655,4599
31,4399
323,4107
33,3983
117,3865
164,3719
733,3685
782,3160
735,2886
602,2788
630,2607
425,2592
351,2275
773,2218
478,2165
58,2152
397,2113
249,2083
803,2057
702,1817
102,1695
643,1638
420,1635
632,1578
261,1333
740,1325
224,1239
756,1122
113,1053
721,912
559,906
783,894
684,691
768,653
579,610
786,555
804,543
652,516
59,510
637,509
765,485
755,439
464,413
815,408
5,403
766,376
762,374
398,362
642,358
742,330
345,321
819,297
68,291
759,280
1,262
751,261
667,261
242,259
731,247
789,236
777,222
264,220
744,219
139,216
799,174
808,174
790,160
770,155
757,155
745,154
167,150
624,143
342,142
793,139
785,139
738,131
2,130
554,129
676,121
722,115
813,114
743,107
698,103
723,101
16,100
787,99
818,97
718,95
796,92
788,81
800,78
779,77
651,70
674,62
639,61
734,60
699,59
690,58
294,54
750,51
778,48
816,47
811,44
797,42
710,41
739,36
709,35
760,34
781,32
737,31
775,30
746,30
798,25
694,24
706,24
812,20
747,20
763,19
809,18
459,17
597,17
666,16
769,13
792,12
780,11
758,11
817,10
776,10
810,9
764,9
52,8
727,8
802,6
748,5
801,5
596,4
749,3
814,2
805,1
795,1
