af_id,af_pattern,af_user,af_user_text,af_timestamp,af_enabled,af_comments,af_public_comments,af_hidden,af_hit_count,af_throttled,af_deleted,af_actions,af_global,af_group
61,"!(""confirmed"" in user_groups) & (
  /* this edit_delta ignores large blankings treated by another filter */
  edit_delta >= -3000 & (
    article_namespace == 0 & (
      /* No added lines usually means a blanking which is dealt with by other filters */
      length(added_lines) != 0 & (
        !(""#redirect"" in lcase(added_lines)) & (
          /* More opening ref tags are removed than added */
          ( rcount(""(<ref\b)"",removed_lines) 
          > rcount(""(<ref\b)"",added_lines)) 
          | /* OR */
          /* More closing ref tags are removed than added */
          ( rcount(""(<ref\b[^>]*\>)"",removed_lines) 
          > rcount(""(<ref\b[^>]*\>)"",added_lines)
          )&(/* Exclude removal of references to Wikipedia */
            (count(""http://en.wikipedia.org"",removed_lines) 
            <= count(""http://en.wikipedia.org"",added_lines))
          )&( /* If  removed empty ref, probs OK */
            (count(""<ref></ref>"",removed_lines) 
            <= count(""<ref></ref>"",added_lines))
          )&( /* ignore conversion between <ref> and </ref> */
            rcount(""</?ref>"",removed_lines) 
            > rcount(""</?ref>"",added_lines)
          )&( /* if they removed a probable comment with ref
                 tag then its probs OK */
            rcount(""<!--.*</?ref>.*-->"",removed_lines) 
            <= rcount(""<!--.*</?ref>.*-->"",added_lines)
          ) 
        )
      )  
    )
  ) 
)",365454,Zzuuzz,20170514124327,1,"""<ref|</ref"" split for clarity

Appears to get more and better hits on referenced info now too. Apparently, previous version wasn't working properly. --Mgm

Switched on. - It Is Me Here
Tagging instead of disallowing, there are plenty of good reasons to remove references. -- Mgm
Oh, is this for all references? Wasn't there one regarding removing a {{Reflist}} template? - It Is Me Here
   That one (filter 79) was a test, and it doesn't appear to be working properly. It hasn't caught anything for at least 24 hours. - Mgm
removed private flag, unnecessary --  Zzuuzz
Updated format that should also catch named references and avoid the old reference grouping tag. --Mgm
Filter 79 now working properly, removing line that specifies reflist. Working on better regex to avoid <references/> being hit with this one --Mgm

Changing to edit_delta <= -1000 from >= -1000; seems like this was the intent. >= and <= comparisons are based on actual value, not absolute value. Correct me if this was the intent. Also, we are getting some false positives on this, see http://en.wikipedia.org/w/index.php?title=Interstate_5_in_Washington&diff=279452062&oldid=278504317 - Hersfold

>= is correct. It is supposed to exclude large removals from being evaluated since they're covered by blanking filters.  It was an error in the regex. Instead of allowing for <ref name=""whatever"">, the regex allowed choosing between <ref> and <ref name>, the last of which obviously didn't work. -- Mgm

added note in filter to avoid confusion --Mgm

Altered regex to treat refs as whole blocks, to avoid situation where a duplicate ref is changed to a named ref (<ref>Blah</ref> --> <ref name=foo/>).  Now won't catch users removing one end of a ref though.  Might have ec'd with cmt above, but can't tell in this wierd system :D --HM


Okay... I THINK this is finally a correct regex that:

  1) grabs <ref> ... </ref> as entire blocks
  2) grabs <ref name=""foo""/>
  3) ignores <references/>
  4) allows newline breaks between <ref> and </ref> tags.
  5) grabs only consecutive <ref>, </ref> pairs (as opposed to jumping from the first <ref> to the last </ref>).

-DF

Restored original version, added exclusions for naming references and removing closing tags of named references. --Mgm

Added comments for clarity --Mgm

Too many false positives, setting to log only. --Conti

From Coppertwig:
A more exact count might be obtained by defining a ref-opening as either ""<ref>"" or ""<ref name"" and a ref-closing as either ""</ref>"" or ""ref name ... />"".  (With the named reference, the same tag will sometimes count as both an opening and a closing.)  The code might look something like this (assuming rcount expects regular expressions):

/* count of removed ref-openings exceeds count of added ref-openings, or count of removed ref-closings exceeds count of added ref-closings; named refs with slashes count as both openings and closings. */ & (rcount(""(<ref>|<ref\sname)"",removed_lines) > rcount(""(<ref>|<ref\sname)"",added_lines) | rcount(""(</ref>|<ref\sname[^>/]*/>)"",removed_lines) > rcount(""(</ref>|<ref\sname[^>/]*/>)"",added_lines)

Adjusted delta to -3000 due to a sock removing references that has been missed due to the total removed content. Ref [[User:Ryulong/Sandbox#Ref_removing_vandal]] - Shirik 24 Jan

I replaced \sname with \s(name|group). - Ruslik

Something 'wrong' here .. it catches also '<ref></ref>' (i.e., empty tags, as included in the article creation wizard).  They should be excluded.

Disable. Most of the hits are false positives. -Sole Soul

Mark as deleted. - KoH

Simplify (can deal with HTML comments and Wikipedia links if this seems otherwise useful) RF 2015-05-03
Added <ref></ref> since it's easy and cheap. RF 2015-06-04
Added item to ignore if only conversion between <ref> and </ref> - now should probably be re-factored. RF 20150915
Added code to pragmatically exclude most single line comment deletions. RF 20160201

readd tag ""references removed"" since reenabled - Cen 22-10-2016",New user removing references,0,1611956,0,0,tag,0,default
135,"!""confirmed"" in user_groups &
( 
  article_namespace = 0 &
  ( 
    ( 
      rmwhitespace(added_lines) rlike ""([^_:.*'|=}{0 -]{1,9})\1{7}"" |
      added_lines rlike ""[bcdfghjklmnpqrstvwxz]{9,}""
    ) & 
    (
      ! rmwhitespace(removed_lines) rlike ""([^_:.*'|=}{-]{1,9})\1{6}"" & 
      ! removed_lines rlike ""[bcdfghjklmnpqrstvwxz]{8,}"" & 
      ! added_lines rlike ""https?:\/\/\S*([^_:*'|=}{-]{1,9})\1{7}|https?:\/\/\S*[bcdfghjklmnpqrstvwxz]{7,}|(^|\n)[|!]"" & 
      ! added_lines irlike ""number|spell|math|string|<br\b"" &
      ! article_text irlike ""number""
    )
  )
)",16980,Dragons flight,20150225210144,1,"Catch copy/paste vandalism like hahahahahahahahahahahahaha. --Wknight94

This doesn't need to be private. -BJ

This has far too many false positives to be set to disallow... Not to mention that it seems to block people from using ""..."" and ""'''''"" (for bold/italic), amongst other things. --Conti

It can at least warn.  ""'''''''"" problem is fixed now.  Added curly brace exception too.  Need example of ""..."" since at least 7 occurrences are needed to trigger. --Wknight94

Changed title to something more neutral. --Conti

Too many false positives - mostly in reference URLs.  Unless someone has a clever way to fix, this is causing more harm than good IMHO.

Agreed, please do not enable this filter without substantial changes, and substantial log only testing. -Prodego

removing the quote, it was triggered by '''xxxx''' in certain cases -- Luk
The filter should ignore urls. - Ruslik

Ignoring all edits with URLs in them isn't a good idea. I've made it a bit more complex, actually checking if a link contains repeating chars. If any added link contains added chars, it stops. Theoretically we could do all sorts of counting to make sure there isn't a link with repeating chars AND other repeating chars, but I think that would just eat away at needless conditions, considering it is likely very rare. -Prodego

Turning out not to be too useful and the filter is overwrought now.  Disabling.  -Wknight94
Merged testing edit summary from 292 - Shirik 12 Feb 2010
Optimized summary block - Shirik 12 Feb 2010
ignoring if repeated chars was already there, per request -- Jun 18, Soap

Merge filter 366 into this. – Oct 28, EdoDodo
Filter tripped the rate limit. I reset it; I didn't see any FPs. -- Shirik 7 Nov 2010
Reset rate limit. - KoH 10 Mar 2011

Simplify. -Sole Soul

Ignore zero - FPs. --Reaper 2012-05-25

Format. -DF",Repeating characters,0,1371361,0,0,"warn,tag",0,default
527,,4168824,"This, that and the other",20161204020134,1,,T34234: log/throttle possible sleeper account creations,1,1241576,0,0,throttle,0,default
384,"edit_delta < 250 &
!(""confirmed"" in user_groups) &
page_namespace == 0 & (
    dick_name := ""\bDick('s\s[A-Za-z][a-z]|\s[A-Z][a-z.])|\b([A-Z]([a-z]+|\.)?|[DM]r\.)\sDick\b|\b(first|last)\s*=\s*Dick\b|{{\s*[Ss]ortname\s*\|\s*Dick\s*\|"";

    !(summary irlike ""und(id|o)|\brv[vt]?\b|revert"") & (
        bad_word := ""\bass\s?holes?\b|bitch(?!\""? magazine)|\bcock(s?|sucker)\b|\bdick(?:sucker|head)?s?\b|cuck(|s|er|ing)\b|\bcunts?\b|\bdildo|douche|f(u|v)ck|nigg(er|ah*)|p(a|e|ae)do(f|ph)il|fag(g[aio]t)?\b|penis(?!tone)|\bcrap|\bslut\b|whore|\b(horse|dog)?shits?\b|\bblah|\bpuss(?!ycat|y Riot)a?y|\bidiot\b|(?<!\bit )(?<!\bthat )\bwas here\b|\blol\b|(([asdfghjkl;])(?!\1)\s*){30}|\!{10,}|(?:<big>){3,}"";

        added_lines irlike bad_word &
        !(added_lines rlike dick_name) &
        !(removed_lines irlike (bad_word + ""|\w\*{1,4}\w"")) &
        !(
            page_title rlike bad_word &
            old_wikitext irlike ""\{\{disamb""
        )
    ) | (
        ccnorm(summary) irlike bad_word &
        !(summary rlike (""\/\*.*\*\/|"" + dick_name)) &
        !(old_wikitext rlike bad_word)
    )
)",14882394,MusikAnimal,20181018171832,1,"Creating as requested by Sole Soul, log only for now. - Someguy1221

Hasn't been tested sufficiently for false positives. Change to warn and tag. - KoH

Adding ""wuss rock"". --Reaper
Put \b around cunt, remove suck (we already have a filter for that). - KoH

Change back to disallow. Run for over 9 days, 1683 hits, no false positives. - Someguy1221

Use same quote exemption as filter 9. - KoH

As a test, remove the edit_delta > 0"" condition. Meanwhile, the filter is tag only. -Sole Soul
Change to disallow. -Sole Soul

Optimize. -Sole Soul
Add some bad words, remove others with no hits. Will monitor log for any FPs. -Sole Soul
Removal of the word ""balls"" and renaming the filter. -Sole Soul

No need to be private. Sole Soul

Fix to avoid false positive of ""Teledildonics"". Od Mishehu

rm ""hello"" - causing FPs in music-related pages. Also not a bad word. --Reaper 2012-05-05

Use single string. - KoH

Wrap both sides of ""was here"". - KoH

Remove mild or ambiguous terms. There is a reason why we have filter 11 for ""suck."" - KoH

Hiding due to potential for abuse.

Format and reduce condition usage. -DF

Delimit ""slut"" to allow ""Slutsky"", at least for now. RF 2015-06-19

Why is there the line 
! removed_lines irlike ""\w\*\*?\w"" ?

Optimize - we can reduce false positives in future. RF 20150817
Remove false positives due to dismbig pages with bad words in their name.  Note this test is only carried out if it would otherwise be considered vandalism, and so is rare. RF 20150819

Include the spelling ""paedophile"" in the words to be caught. --Od Mishehu
Remove ""awesome"" for now. RF 2015-10-29
! added_lines rlike ""\bDick\b\s[A-Z][a-z]"" & ...
Should exclude FPS for poele called Dick Foo. RF 20151101

Merging in one rule from 285 so it can be disabled. Filter does not need to be private as a general-purpose vandalism filter, methinks. Also increasing edit delta and removing max length of added_lines, those wouldn't seem to help false positives that much. Finally, removing the now-unneeded short-circuiting that was fixed in MediaWiki 1.28. I'm keeping a close eye on the logs ~MA 2016.09.11

Removing ""hi"", causing false positives and is already covered by Special:AbuseFilter/664 ~MA 2017.01.01

Adding cuck. Tested at filter 839, looks good. --Someguy1221

Allow people called Foo Dick as well as Dick Foo. -Cyp 2017-10-09

Add summary tests as well.-CYBERPOWER

Adding an exception for edit summaries containing a bad word, for if the article already contained a bad word, and the summary looks to be autogenerated from a section edit. Without it, this triggers false positives when new users and IPs edit sections whose title contains a bad word. Happens with some music-related pages. --Someguy1221

Excluding ""It was here"" from the ""____ was here"" test. --Someguy1221

Cleanup, whitelist {{sortname|Dick|Tracy}}, etc. ~MA",Addition of bad words or other vandalism,0,1159239,0,0,disallow,0,default
172,"!""confirmed"" in user_groups &
(
  length(added_lines) < 1 &
  (
    article_namespace == 0 &
    (
      (
        rmwhitespace(removed_lines) rlike ""==\w+=="" &
        (
          rmwhitespace(old_wikitext) contains rmwhitespace(removed_lines + ""=="") &
          ! rmwhitespace(new_wikitext) contains rmwhitespace(removed_lines + ""=="")            
        )
      ) | 
      (
        rmwhitespace(old_wikitext) contains rmwhitespace(""=="" + removed_lines + ""=="") &
        ! rmwhitespace(new_wikitext) contains rmwhitespace(removed_lines + ""=="")
      )
    )
  )
)",365454,Zzuuzz,20170514124339,1,"This seems to work to see section blanking, testing as log only to see if it gives false positives and for speed.

OK, added basic check if the removed_text does contain ""=="", this line could maybe be made better by using a regex on it to check if it is ""== sectiontitle =="" ..??

Reenabled, it still may give some false positives.  --Beetstra

Speedup, specificity  --Beetstra
bit upgrade?  --Beetstra

Small case tag, for consistency with other tags. -x

null edit, small case change didn't get through - Cen

trying to deactivate and reactivate - Cen

tagged edits are not reassigned after rename, see bugzilla 18908 - Cen

(added_lines == """") does not work, (length(added_lines) < 1) does .. curiously.

Updating filter  --Beetstra
False positives on  removing empty sections can we test for that? Crudely even
old_wikitext contains [^=](==+) *\n\1[^=]
(i.e. it had at least one empty section) might do the job.
Rich Farmbrough.

Encountered another form of blanking, attempted to add to filter  --Beetstra

Format. -DF",Section blanking,0,935925,0,0,tag,0,default
30,"edit_delta < -5000 &
new_size >= 50 &
page_namespace == 0 &
!(""confirmed"" in user_groups) & 
length(summary) < 60 &
!(user_name in page_recent_contributors) & 
!(""#redirect"" in lcase(added_lines)) &
!(summary irlike ""\bcop(y|ied)|und(id|o)|\brv[vt]?\b|revert|vandal|remov|clean|delet|\brmv?\b|\brepea?t"") &
rcount(""\n[|!<]"",removed_lines) / (rcount(""\n"",removed_lines) + 1) < 0.9 &
length(rmwhitespace(added_lines)) < 3000",14882394,MusikAnimal,20181018234235,1,"fixing the part about recent contributor.. <nixeagle>

No, that was the intended logic, to test whether the user is The Only contributor.  Putting that back.  Deleting from a page you created should be fine, but blanking from an established page just because you edited it previously generally would not be. - Dragons_flight

Restoring Prodego's edit. - DF
Thanks for the talk page note DF / Don't trip if it is a full blank, overlaps with filter 3 -Prodego

Changed from ""new editor"" to ""non-autoconfirmed editor"" for clarity. -xeno

optimizing - Hersfold

I increased the threshold to -2000 to decrease the number of hits - Ruslik0

Fixing the recent contributors thing; this is a string of up to ten users, so != doesn't work. - hersfold

exception for 69.226.103.13 - Cen

NO! Do not exempt particular IPs, its a waste of checks. If they want exemption, they can create an account. Its free -Prodego

Increased threshold to 5000. - Ruslik
Closed gap between filter 3 and filter 30 - previously could reduce articles to exactly 50 without triggering. RF

Added action check, so it'll stop pinging on AFT comments. - rsterbin

Clean layout and reduce condition count.  -DF",Large deletion from article by new editors,0,840871,0,0,"warn,tag",0,default
633,"user_editcount < 50 &
user_mobile == 1 &
summary rlike ""^(?:/\* .* \*/\s?)?(?:Fixed typo|Fixed grammar|Added links|Added content|[Ff]ixed)$""",19818307,Crow,20181218191236,1,"Created by request of User:AddWittyNameHere, tested at 358 in this form between 4:36 and 19:50 on Sepotember 1st. --Od Mishehu

Removing tagging pending discussion at [[User talk:Od Mishehu#A barnstar for you!]] ~ MusikAnimal 2014.09.03

See Bugzilla report at: https://bugzilla.wikimedia.org/show_bug.cgi?id=70349

Disabling based on that these edit summaries are simply buttons users are hitting in the mobile app. Bug report yielded WONT FIX resolution. If we want to create a filter it should test for all canned edit summaries and tag them as such

Re-enabling to indicate usage of a canned edit summary, log only at the moment ~MA 2014.12.12

Tag ~MA 2014.12.14

Added the single word ""fixed"" -C 18Dec18",Possible canned edit summary,0,808716,0,0,tag,0,default
636,"!(""confirmed"" in user_groups) &
page_namespace == 0 &
edit_delta < -400 &
new_size > 200 & (
    length(summary) == 0 |
    summary rlike ""^/\*.*?\*/\s*$""
) &
removed_lines irlike ""<ref.*?>"" &
!(added_lines irlike ""<ref.*?>"")",14882394,MusikAnimal,20181231024947,1,"Log only ~MusikAnimal 2014.09.25


Boldly adding a warning. The rationale behind this is as follows:
~ Filter works, triggered only when a large amount (400+ bytes) of sourced content is removed
~ This does not prevent save nor deter the removal of the content, it simply politely asks the user to use an edit summary
~ Under standard practice patrollers would revert unexplained removal of sourced content anyway
~ Most hits appear to be blatant vandalism

Following this logic, this filter should serve well. For the good editors, it teaches to use an edit summary when removing content. The patrollers would revert and ask them to do the same, instead the filter is doing that job. For the bad editors, the fact that they have to hit save twice alone will help prevent vandalism.

If someone has an issue with this filter or feels there should not be a warning, feel free to remove warning, but please let me know, and consider starting a thread at [[Wikipedia talk:Edit filter]] explaining why you think this is a bad idea. Please also keep the filter enabled. Thank you!

~MusikAnimal 2014.10.01",Unexplained removal of sourced content,0,726764,0,0,warn,0,default
3,"!(""confirmed"" in user_groups) &
page_namespace == 0 &
new_size < 50 &
old_size > 300 &
!(user_name in page_recent_contributors) & 
!(lcase(added_lines) rlike ""#redirect|{{((db-(attack|g10))|wi)}}"")",14882394,MusikAnimal,20181018194624,1,"Should there be a note in the warning about what to do if you're a BLP subject attempting to blank your own article?

Also, yay, first comment! - east

These notes are not private, by the way.

The false positives page has not been created yet, so the warning page is incomplete. I deactivated the action 'warn'.

Re-enabled after creating it -- Andrew

We really need a better way to talk. Do tildes work here? ~~~ (east)
Guess not :'(

Ignore if editor is the only editor of the page (faked by checking last 10 editors)

Redefine blanking as any size under 50, where the page started at >500 (min delta of 450)

Logic fixes, some of the conditions were redundant - Hersfold

Note that filter applies only to new users. (eg non autoconfirmed but new user is shorter)

Optimizing - Hersfold

Add redirect avoidance, necessary if this is going to allow pages to not be fully blank.  - DF

changed ""user_name in article_recent_contributors"" to ""!(user_name in article_recent_contributors)"" - Hersfold

Adding & !(user_name == 69.226.103.13) to temporarily exempt that IP address from this filter, see my talk page for details. - Hersfold
Scratch that, removing per Prodego's comments on filter 30. If it got removed there, I shouldn't be adding it here. - Hersfold
I added an exception for {{db-attack}} template. - Ruslik
I added an exception for {{db-g10}} template. - Od Mishehu
Optimization of the code. - Ruslik
Moved new size check before namespace check - rationale very few edits result in size < 50, most are to namespace 0.  Moved old size before namespace check - rationale _given_ new size< 50 very few edits will have oldsize > 500 (especially by new users), however most will be to mainspace.  Previous to change average run time 6.52ms, 27 conditions. RF
OK condition stats seem meaningless varying from 8 to 500 I'll review in 10,000 edits time.
Run 5.97 conditions 14, but I don't trust them. RF.

Now monitoring namespace 100 (portal) Shirik 12 Feb 2010

Optimize --Tim

Adding Wiktionary template to prevent false positives. -v^_^v

Optimize using regex. - KoH
Portals are simply not worth the runtime. - KoH

Temporarily adding the reference desks due to a persistent IP-hopping vandal. Will disable when it's over.--JD

Was ultimately not needed. Removed.--JD

Ugh, is that vandal watching this filter? --JD

The vandal seems to have again stopped blanking. If (s)he resumes, re-add the condition. --JD

Vandal is back. Will leave on longer. --JD

Removing now. Sorry for the comment/log spam here. --JD

Decrease old_size restriction to > 300 to pick up what few edits Filter 344 catched that this one did not. ~ MusikAnimal 2014.09.25

Reorder to reduce conditions. -DF",New user blanking articles,0,700522,0,0,"warn,tag",0,default
650,"article_articleid == 0 &
(
 article_namespace == 0 &
 (
  !new_wikitext rlike ""(?i)(\[\[category:|^# ?redirect ?\[\[)"" &
  !""isambiguation"" in new_html
 )
)",7529026,Samtar,20160721182156,1,"optimised --zzuuzz
disabling to bring down the condition limit -z
re-enabled -z",Creation of a new article without any categories,0,695601,0,0,,0,default
