LogMonth,Freq
201903,34309
201902,236606
201901,252668
201812,226287
201811,253233
201810,256438
201809,230354
201808,216045
201807,205477
201806,209374
201805,238235
201804,242857
201803,255431
201802,213548
201801,235705
201712,213359
201711,254671
201710,224244
201709,212790
201708,195593
201707,176778
201706,184406
201705,231250
201704,225176
201703,257081
201702,246199
201701,256925
201612,226680
201611,258655
201610,254070
201609,238406
201608,192681
201607,171567
201606,201867
201605,294276
201604,319474
201603,360327
201602,366637
201601,372907
201512,307003
201511,338129
201510,264966
201509,272765
201508,215203
201507,207626
201506,236916
201505,250012
201504,201602
201503,188296
201502,163529
201501,163552
201412,137314
201411,154933
201410,165732
201409,132150
201408,93636
201407,80837
201406,94967
201405,132788
201404,129260
201403,157123
201402,146198
201401,151970
201312,131054
201311,156195
201310,163029
201309,122300
201308,117010
201307,113163
201306,109264
201305,163644
201304,146456
201303,156797
201302,196511
201301,169755
201212,147379
201211,186991
201210,204204
201209,160734
201208,122418
201207,110906
201206,123762
201205,178005
201204,173853
201203,184071
201202,197130
201201,192057
201112,175397
201111,211174
201110,224586
201109,171945
201108,133965
201107,133186
201106,143617
201105,173431
201104,160696
201103,177539
201102,173222
201101,181135
201012,157738
201011,195329
201010,206730
201009,174706
201008,138323
201007,127687
201006,146164
201005,206822
201004,197381
201003,217092
201002,206380
201001,193376
200912,166506
200911,210227
200910,226865
200909,213208
200908,162281
200907,160993
200906,179176
200905,211879
200904,179152
200903,99008
