LogMonth,FilterID,Freq
201907,102,5
201907,11,284
201907,113,9
201907,117,131
201907,12,128
201907,123,13
201907,132,504
201907,135,1351
201907,139,11
201907,148,469
201907,149,418
201907,164,34
201907,172,2269
201907,174,25
201907,180,20
201907,189,1722
201907,220,527
201907,225,514
201907,231,511
201907,242,14
201907,247,203
201907,249,799
201907,260,922
201907,264,3
201907,279,1559
201907,29,173
201907,3,1797
201907,30,1300
201907,31,17
201907,316,107
201907,320,330
201907,323,39
201907,33,112
201907,339,275
201907,34,116
201907,345,29
201907,346,60
201907,351,42
201907,354,695
201907,364,2374
201907,365,136
201907,380,1072
201907,384,4675
201907,39,251
201907,391,1137
201907,397,62
201907,420,21
201907,425,39
201907,432,725
201907,46,395
201907,466,147
201907,478,23
201907,491,420
201907,499,803
201907,5,12
201907,50,491
201907,51,738
201907,52,12
201907,527,14389
201907,547,69
201907,550,1569
201907,559,54
201907,579,44
201907,58,5
201907,59,14
201907,600,80
201907,602,302
201907,61,8545
201907,614,773
201907,627,354
201907,630,132
201907,631,505
201907,633,2446
201907,636,4966
201907,637,5080
201907,642,1
201907,643,133
201907,655,139
201907,657,177
201907,664,83
201907,667,45
201907,68,43
201907,680,871
201907,686,3077
201907,694,2
201907,702,22
201907,711,337
201907,712,2036
201907,716,205
201907,733,164
201907,735,90
201907,751,1
201907,752,1019
201907,753,584
201907,766,19
201907,767,2
201907,768,12
201907,777,64
201907,782,36
201907,783,18
201907,788,4
201907,79,398
201907,793,45
201907,80,158
201907,803,853
201907,806,915
201907,809,19
201907,812,5
201907,821,9
201907,828,5
201907,833,5886
201907,837,155
201907,839,532
201907,846,1888
201907,847,29
201907,850,76
201907,856,12
201907,860,3
201907,862,49
201907,864,3
201907,867,1108
201907,868,3
201907,869,162
201907,871,2
201907,874,299
201907,877,11
201907,878,246
201907,881,2
201907,885,8
201907,887,111
201907,889,3
201907,890,178
201907,891,16
201907,892,35
201907,894,128
201907,898,110
201907,899,42
201907,900,5
201907,901,4
201907,906,8
201907,909,1
201907,911,4
201907,915,5
201907,916,1
201907,921,126
201907,926,29
201907,928,28
201907,930,134
201907,932,2
201907,935,329
201907,936,10
201907,937,1
201907,942,553
201907,944,57
201907,953,13
201907,954,3
201907,955,3
201907,957,1761
201907,958,20
201907,960,26
201907,961,1
201907,963,92
201907,964,818
201907,965,181
201907,967,90
201907,970,2158
201907,973,145
201907,974,43
201907,979,10
201907,98,119
201907,980,4
201907,981,452
201907,982,74
201907,984,5
201907,986,6
201907,987,231
201907,989,2
201907,993,5
201907,994,19
201907,995,17
201907,997,175
201906,102,19
201906,11,797
201906,113,45
201906,117,224
201906,12,406
201906,123,6
201906,132,1146
201906,135,4042
201906,139,8
201906,148,991
201906,149,754
201906,164,53
201906,172,4426
201906,174,109
201906,180,51
201906,189,3190
201906,220,1032
201906,225,1182
201906,231,1428
201906,242,42
201906,247,386
201906,249,1184
201906,260,2242
201906,264,1
201906,279,4145
201906,29,225
201906,3,4750
201906,30,3109
201906,31,118
201906,316,211
201906,320,851
201906,323,112
201906,33,206
201906,339,622
201906,34,429
201906,342,1632
201906,345,48
201906,346,193
201906,351,88
201906,354,1297
201906,364,4784
201906,365,315
201906,380,2558
201906,384,11541
201906,39,583
201906,391,2159
201906,397,100
201906,420,54
201906,425,110
201906,432,2143
201906,46,986
201906,466,288
201906,478,96
201906,491,1150
201906,499,1319
201906,5,36
201906,50,1353
201906,51,1186
201906,52,6
201906,527,29173
201906,547,123
201906,550,3082
201906,554,7
201906,559,92
201906,579,52
201906,58,16
201906,59,25
201906,597,3
201906,600,78
201906,602,301
201906,61,18013
201906,614,2357
201906,627,668
201906,630,346
201906,631,1164
201906,633,4956
201906,636,10598
201906,637,5526
201906,639,1
201906,642,2
201906,643,250
201906,655,319
201906,657,282
201906,664,265
201906,667,89
201906,68,38
201906,680,2002
201906,686,5694
201906,694,6
201906,702,38
201906,711,549
201906,712,3551
201906,716,417
201906,733,398
201906,735,256
201906,751,1
201906,752,1905
201906,753,1036
201906,766,21
201906,767,18
201906,768,36
201906,777,113
201906,782,101
201906,783,10
201906,788,5
201906,79,801
201906,793,73
201906,797,2
201906,798,5
201906,799,3
201906,80,242
201906,803,1626
201906,806,624
201906,809,23
201906,812,11
201906,821,4
201906,828,14
201906,833,11936
201906,835,2
201906,837,379
201906,839,183
201906,846,826
201906,847,40
201906,850,185
201906,856,31
201906,860,25
201906,861,17
201906,862,137
201906,864,13
201906,865,6
201906,867,1884
201906,869,313
201906,871,9
201906,874,712
201906,877,49
201906,878,421
201906,881,2
201906,885,4
201906,887,282
201906,890,393
201906,891,64
201906,892,111
201906,894,206
201906,898,159
201906,899,63
201906,901,5
201906,906,57
201906,909,15
201906,915,8
201906,921,175
201906,926,164
201906,927,6
201906,928,19
201906,930,214
201906,932,3
201906,935,574
201906,936,10
201906,937,1
201906,942,843
201906,944,136
201906,953,3
201906,954,45
201906,955,20
201906,957,3579
201906,958,38
201906,960,73
201906,963,118
201906,964,1511
201906,965,443
201906,970,4607
201906,973,173
201906,974,63
201906,978,39
201906,979,11
201906,98,300
201906,980,8
201906,981,1033
201906,982,85
201906,984,8
201906,986,24
201906,987,468
201906,988,5
201906,989,8
201906,993,7
201906,994,29
201906,995,27
201906,996,18
201905,1,14
201905,102,34
201905,11,1493
201905,113,25
201905,117,266
201905,12,605
201905,132,1742
201905,135,6989
201905,139,5
201905,148,964
201905,149,755
201905,164,73
201905,172,5253
201905,174,93
201905,180,47
201905,189,3278
201905,2,40
201905,220,936
201905,225,1759
201905,231,2935
201905,242,2
201905,247,349
201905,249,1061
201905,260,3501
201905,264,1
201905,279,5797
201905,29,224
201905,294,6
201905,3,8629
201905,30,5198
201905,31,174
201905,316,204
201905,320,1779
201905,323,103
201905,33,336
201905,339,656
201905,34,468
