LogMonth,FilterActions,Freq
201903,,14103
201903,disallow,9430
201903,tag,13283
201903,warn,6001
201902,,73101
201902,disallow,47242
201902,"disallow,tag",8
201902,tag,81279
201902,warn,34976
201901,,81745
201901,disallow,44370
201901,"disallow,tag",8
201901,tag,89263
201901,warn,37282
201812,,83958
201812,disallow,33417
201812,"disallow,tag",6
201812,tag,76257
201812,warn,32649
201811,,83866
201811,disallow,43244
201811,"disallow,tag",5
201811,tag,86062
201811,warn,40056
201810,,87070
201810,disallow,38163
201810,"disallow,tag",8
201810,tag,86140
201810,warn,45057
201809,,88941
201809,disallow,27452
201809,"disallow,tag",1
201809,tag,75443
201809,warn,38517
201808,,97404
201808,disallow,22387
201808,"disallow,tag",2
201808,tag,69333
201808,warn,26919
201807,,93867
201807,disallow,18885
201807,"disallow,tag",3
201807,tag,68355
201807,warn,24367
201806,,87889
201806,disallow,21996
201806,"disallow,tag",3
201806,tag,70779
201806,warn,28707
201805,,83190
201805,disallow,30660
201805,"disallow,tag",2
201805,tag,81854
201805,warn,42529
201804,,88356
201804,disallow,30991
201804,"disallow,tag",2
201804,tag,83492
201804,warn,40016
201803,,89214
201803,disallow,34215
201803,"disallow,tag",14
201803,tag,87523
201803,warn,44465
201802,,62171
201802,disallow,32644
201802,"disallow,tag",9
201802,tag,76656
201802,warn,42068
201801,,73898
201801,disallow,32164
201801,"disallow,tag",16
201801,tag,82561
201801,warn,47066
201712,,69844
201712,disallow,29018
201712,"disallow,tag",24
201712,tag,77882
201712,warn,36591
201711,,80899
201711,disallow,36644
201711,"disallow,tag",5
201711,tag,88037
201711,warn,49086
201710,,53931
201710,disallow,36888
201710,"disallow,tag",13
201710,tag,86680
201710,warn,46732
201709,,54752
201709,disallow,33821
201709,"disallow,tag",13
201709,tag,82391
201709,warn,41813
201708,,60397
201708,disallow,23035
201708,"disallow,tag",12
201708,tag,80953
201708,warn,31196
201707,,51692
201707,disallow,20400
201707,"disallow,tag",55
201707,tag,78377
201707,warn,26254
201706,,49375
201706,disallow,24702
201706,"disallow,tag",12
201706,tag,79106
201706,warn,31211
201705,,53294
201705,disallow,38804
201705,"disallow,tag",29
201705,tag,93352
201705,warn,45771
201704,,57507
201704,disallow,34750
201704,tag,91172
201704,warn,41747
201703,,63811
201703,disallow,41589
201703,"disallow,tag",5
201703,tag,100220
201703,warn,51456
201702,,59729
201702,disallow,38478
201702,tag,100497
201702,warn,47495
201701,,72757
201701,disallow,37437
201701,"disallow,tag",793
201701,tag,98513
201701,warn,47425
201612,,65386
201612,disallow,33762
201612,"disallow,tag",1018
201612,tag,84967
201612,warn,41547
201611,,68020
201611,disallow,43542
201611,"disallow,tag",1831
201611,tag,94212
201611,warn,51050
201610,,81701
201610,disallow,42947
201610,"disallow,tag",2091
201610,tag,76270
201610,warn,51061
201609,,84743
201609,disallow,37986
201609,"disallow,tag",1940
201609,tag,66150
201609,warn,47587
201608,,77446
201608,disallow,19236
201608,"disallow,tag",1032
201608,tag,63639
201608,warn,31328
201607,,71839
201607,disallow,16098
201607,"disallow,tag",648
201607,tag,57668
201607,warn,25314
201606,,72518
201606,disallow,22867
201606,"disallow,tag",1600
201606,tag,66705
201606,warn,38177
201605,,110626
201605,disallow,34094
201605,"disallow,tag",3393
201605,tag,86684
201605,warn,59479
201604,,125882
201604,disallow,33097
201604,"disallow,tag",2604
201604,tag,92019
201604,warn,65872
201603,,134270
201603,disallow,37722
201603,"disallow,tag",3259
201603,tag,109295
201603,warn,75781
201602,,146671
201602,disallow,39050
201602,"disallow,tag",4197
201602,tag,104710
201602,warn,72009
201601,,149693
201601,disallow,37575
201601,"disallow,tag",4139
201601,tag,103009
201601,warn,78491
201512,,127836
201512,disallow,32589
201512,"disallow,tag",3299
201512,tag,82884
201512,warn,60395
201511,,133761
201511,disallow,36455
201511,"disallow,tag",5133
201511,tag,92625
201511,warn,70155
201510,,73725
201510,disallow,38407
201510,"disallow,tag",5872
201510,tag,85782
201510,warn,61180
201509,,71444
201509,disallow,36617
201509,"disallow,tag",5553
201509,tag,104109
201509,warn,55042
201508,,79633
201508,disallow,23675
201508,"disallow,tag",2433
201508,tag,70065
201508,warn,39397
201507,,80349
201507,disallow,21611
201507,"disallow,tag",1484
201507,tag,67642
201507,warn,36540
201506,,96282
201506,disallow,25959
201506,"disallow,tag",2856
201506,tag,68001
201506,warn,43818
201505,,78306
201505,disallow,37125
201505,"disallow,tag",5100
201505,tag,72516
201505,warn,56965
201504,,40026
201504,disallow,35597
201504,"disallow,tag",1990
201504,tag,68272
