LogMonth,EditorActions,Freq
201903,autocreateaccount,47
201903,createaccount,4780
201903,delete,5
201903,edit,37950
201903,move,84
201903,upload,3
201902,autocreateaccount,454
201902,createaccount,25204
201902,delete,5
201902,edit,210488
201902,move,445
201902,upload,10
201901,autocreateaccount,281
201901,createaccount,27924
201901,delete,21
201901,edit,223870
201901,move,568
201901,upload,4
201812,autocreateaccount,102
201812,createaccount,35405
201812,delete,5
201812,edit,189795
201812,move,959
201812,upload,21
201811,autocreateaccount,486
201811,createaccount,35421
201811,delete,2
201811,edit,216220
201811,move,1048
201811,upload,56
201810,autocreateaccount,744
201810,createaccount,37240
201810,delete,13
201810,edit,217446
201810,move,947
201810,upload,48
201809,autocreateaccount,709
201809,createaccount,39360
201809,delete,11
201809,edit,189821
201809,move,441
201809,upload,12
201808,autocreateaccount,1326
201808,createaccount,39755
201808,edit,174531
201808,move,402
201808,upload,31
201807,autocreateaccount,1246
201807,createaccount,37216
201807,delete,8
201807,edit,166540
201807,move,461
201807,upload,6
201806,autocreateaccount,299
201806,createaccount,33262
201806,delete,2
201806,edit,175272
201806,move,529
201806,upload,10
201805,autocreateaccount,313
201805,createaccount,33229
201805,edit,204151
201805,move,532
201805,upload,10
201804,autocreateaccount,216
201804,createaccount,25171
201804,delete,4
201804,edit,216750
201804,move,709
201804,upload,7
201803,autocreateaccount,94
201803,createaccount,21655
201803,delete,85
201803,edit,232464
201803,move,726
201803,upload,407
201802,autocreateaccount,269
201802,createaccount,16330
201802,delete,5
201802,edit,196347
201802,move,594
201802,upload,3
201801,autocreateaccount,208
201801,createaccount,27960
201801,delete,4
201801,edit,206999
201801,move,531
201801,upload,3
201712,autocreateaccount,184
201712,createaccount,17169
201712,delete,9
201712,edit,195250
201712,move,747
201711,autocreateaccount,239
201711,createaccount,19292
201711,edit,234466
201711,move,670
201711,upload,4
201710,autocreateaccount,186
201710,createaccount,16133
201710,delete,16
201710,edit,207490
201710,move,417
201710,upload,2
201709,autocreateaccount,229
201709,createaccount,15452
201709,delete,3
201709,edit,196832
201709,move,265
201709,upload,9
201708,autocreateaccount,124
201708,createaccount,15041
201708,delete,1
201708,edit,180182
201708,move,243
201708,upload,2
201707,autocreateaccount,170
201707,createaccount,15061
201707,delete,2
201707,edit,161290
201707,move,244
201707,upload,11
201706,autocreateaccount,335
201706,createaccount,12920
201706,delete,2
201706,edit,170865
201706,move,281
201706,upload,3
201705,autocreateaccount,203
201705,createaccount,13796
201705,delete,8
201705,edit,216844
201705,move,389
201705,upload,10
201704,autocreateaccount,145
201704,createaccount,10865
201704,delete,54
201704,edit,213575
201704,move,526
201704,upload,11
201703,autocreateaccount,78
201703,createaccount,16270
201703,delete,8
201703,edit,240384
201703,move,334
201703,upload,7
201702,autocreateaccount,31
201702,createaccount,17606
201702,delete,3
201702,edit,228281
201702,move,271
201702,upload,7
201701,autocreateaccount,118
201701,createaccount,27189
201701,delete,9
201701,edit,229363
201701,move,237
201701,upload,9
201612,autocreateaccount,85
201612,createaccount,24858
201612,delete,1
201612,edit,201325
201612,move,390
201612,upload,21
201611,autocreateaccount,89
201611,createaccount,26042
201611,delete,9
201611,edit,232095
201611,move,410
201611,stashupload,1
201611,upload,9
201610,autocreateaccount,113
201610,createaccount,25554
201610,delete,3
201610,edit,228099
201610,move,285
201610,stashupload,5
201610,upload,11
201609,autocreateaccount,88
201609,createaccount,24824
201609,delete,19
201609,edit,213279
201609,move,196
201608,autocreateaccount,76
201608,createaccount,22064
201608,delete,9
201608,edit,170361
201608,move,170
201608,upload,1
201607,autocreateaccount,105
