	af_id,	af_pattern,	af_user,	af_user_text,	af_timestamp,	af_enabled,	af_comments,	af_public_comments,	af_hidden,	af_hit_count,	af_throttled,	af_deleted,	af_actions,	af_global,	af_group
10,"	action == ""edit"" & article_namespace == 0 & user_groups == ""*"" & summary rlike ""^\s*(?:/\*.*\*/)?\s*$""",1859,	Filzstift,	20130605150032,0,"	05.06.2013: als gelöscht markiert, da seit langem deaktiviert

""Warnung: Dieser Filter wurde sicherheitshalber automatisch deaktiviert. Er hat mehr als die definierte Obergrenze von 5,00 % der Aktionen erkannt."" => deaktiviert Hozro, 20. Juli 2011

Eingerichtet als Alternative zu Wikipedia:Meinungsbilder/Hinweis auf Notwendigkeit der Angabe von Zusammenfassung und Quellen
http://de.wikipedia.org/w/index.php?title=Wikipedia:Missbrauchsfilter/Antr%C3%A4ge&oldid=61011113#Zusammenfassung_und_Quellen",	Nicht bearbeitete Zusammenfassung,0,244584,1,1,,0,	default
6,"	article_namespace==0
& action==""edit""
& added_lines rlike ""(?:'''Fetter Text'''|''Kursiver
Text''|\[http:\/\/www\.example\.com Link-Text]|Datei:Beispiel\.jpg|== (?:Überschrift|Kopfzeile)
==|\[\[(?:Link-Text|Media:Beispiel\.ogg)]]|# Nummerierter Listeneintrag|:Eingerückte Zeile|<math>Formel
hier einfügen<\/math>|<nowiki>Hier unformatierten Text eingeben<\/nowiki>|<big>Großer Text<\/big>|<small>Kleiner Text<\/small>|<sup>Hochgestellter Text<\/sup>|<sub>Tiefgestellter Text<\/sub>)""",1160488,	Hephaion,	20130605163406,1,"	5. Juni 2013: Auf Verbieten gestellt, da Versehen in Kombination mit der Systemnachricht ausgeschlossen ist -- Hephaion


[[Wikipedia:Missbrauchsfilter/6]]",	Wikisyntax aus der Zeichenleiste hinzugefügt,0,54803,0,0,"	warn,disallow,tag",0,	default
70,"	article_namespace >= 2
& article_namespace <= 3
& action==""edit""
& ( user_editcount < 3
  & user_age != 0
  & (summary rlike ""\b\w+\.\w{2,4}\b"" | added_links > 0)
  | added_lines = ""(font-color: transparent|rayban)""
)",35543,	Lustiger seth,	20181226195714,1,"	Loggen, wenn ein neuer Weblink von neuangemeldeten Benutzern (<6 Beiträge) im Benutzernamensraum angelegt wird. Grund ist folgende Diskussion: https://de.wikipedia.org/wiki/Wikipedia:Administratoren/Notizen/Archiv/2011/01#Website_in_Wikipedia_-_Social_Bookmark_Backlink_SEO_PR8_.2F_Einbremsen_von_Ebay-Gesch.C3.A4ftemachern
2017-01-30 xqt: Weblinks in ZQ ebenfalls loggen
2018-12-26 seth: syntaxfix, so oder so waren die klammern unsinnig",	Verdacht auf Linkspam im Benutzernamensraum,0,40841,0,0,,0,	default
37,"	(article_namespace == 0 | article_namespace == 10 | article_namespace == 14)
& action == ""edit""
& !(""sysop"" in user_groups)
& contains_any(lcase(summary), ""revert"", ""rückgängig"", ""zurückgesetzt"", ""verworfen"")",2379,	Seewolf,	20140810113523,0,"	siehe [[WP:Missbrauchsfilter/37]]
2014-08-10: abgeschaltet. Seewolf",	Edit-War-Protektor: Blendet Warnhinweis [[MediaWiki:abusefilter-warning-editwar]] ein,0,22216,0,0,"	throttle,warn",0,	default
107,"	action==""edit""
& (((user_age == 0 | user_editcount < 12)
& (article_namespace == 2 | article_namespace == 3 | article_namespace == 0)
& substr(article_text, 0, length(user_name)) != user_name
& ( length(user_name) == length(article_text) 
  | substr(article_text, length(user_name), 1) != ""/""
)
& ! (lcase(article_text) rlike ""^(?:[0-9.]+|(?:[0-9a-f]{0,4}:)+)[0-9a-f]{1,4}$"")
& ( (old_size > 500 & new_size <= 70) 
  | (old_size > 0   & new_size == 0)
)
)
|
 ((user_age == 0 | user_editcount < 12)
& (article_namespace == 2 | article_namespace == 3 | article_namespace == 0)
& substr(article_text, 0, length(user_name)) != user_name
& ( length(user_name) == length(article_text) 
  | substr(article_text, length(user_name), 1) != ""/""
)
& ! (lcase(article_text) rlike ""^(?:[0-9.]+|(?:[0-9a-f]{0,4}:)+)[0-9a-f]{1,4}$"")
& ( (old_size > 500 & new_size <= 70) 
  | (old_size > 0   & new_size == 0)
)
))
| user_name =""Живот""",2379,	Seewolf,	20181030043715,1,"	2014-02-04, Wnme: da vermehrt nicht eingeloggte user in im BNR editieren Warnung angepasst
2014-01-25, Wnme: nach erfolgreicher Testphase aktiviert
2014-01-03, seth: nach neuem request re-aktiviert, allerdings nur fuer user namespace. und erst mal logging-only
2013-06-05, Filzstift: als gelöscht markiert, da seit langem deaktiviert

2011-11-14, seth: die summary-bedingung bedeutet etwa: wenn summary == """" oder "" "" oder ""/* irgendwas */""

2011-09-28, Seewolf: Dieser Filter soll größere Löschungen durch IPs ohne weitere Eingaben in der Zusammenfassungszeile protokollieren und später warnen.",	Große Löschungen durch IP,0,20322,0,0,	disallow,0,	default
202,"	(
summary contains ""Die Seite wurde ohne Inhalt angelegt."" 
| (new_size <7 & old_size = 0)
)
& (user_age == 0 | user_editcount <12)",2379,	Seewolf,	20170201172523,1,"	2015-05-29, Wnme: Filter angelegt, um herauszufinden, wie häufig Seiten ohne Inhalt angelegt werden und ob hierbei Vandalismus eine Rolle spielt
2015-06-06, Wnme: nur für IPs und neue User
2017-01-30, xqt: im eigenen BNR ausschließen
2017-02-01, seewolf: Gerade im eigenen BNR erkennt man die Trolle",	Anlage leerer Seiten,0,16893,0,0,,0,	default
49,"	article_namespace == 0
& ! (""bot"" in user_groups )
& added_lines rlike '\[\[\s*(?i:category|kategorie):\s*[Gg]estorben[\s|_]2015\s*(?:\|[^\]]*)?\]\]'",35543,	Lustiger seth,	20160102231016,0,	siehe [[Wikipedia:Bearbeitungsfilter/49]],	Gestorben eingefügt,0,14433,0,1,	tag,0,	default
102,,1859,	Filzstift,	20190326075656,1,,	Nicht hilfreiche Bearbeitungen,1,12133,0,0,	disallow,0,	default
248,,2379,	Seewolf,	20190409094213,1,,	Verdacht auf Sperrumgehung durch Bertramzwo,1,10059,0,0,,0,	default
66,,1859,	Filzstift,	20190325125023,1,,	Verdacht auf Sperrumgehung: GLGermann,1,9265,0,0,	disallow,0,	default
4,"	article_namespace==0
& action==""edit""
& user_age > 0
& !user_groups contains ""editor""
& user_editcount < 50
& edit_delta > -40
& edit_delta < 40
& ( rcount(""\Bendete"",added_lines) < rcount(""\Bendete"",removed_lines)
  | count(""bayrisch"",added_lines) < count(""bayrisch"",removed_lines)
  | count(""destotrotz"",added_lines) < count(""destotrotz"",removed_lines)
  | count(""er-Jahr"",added_lines) < count(""er-Jahr"",removed_lines)
  | count(""gleich"",added_lines) < count(""gleich"",removed_lines)
  | rcount(""[hH]erren"",added_lines) < rcount(""[hH]erren"",removed_lines)
  | count(""ithilfe"",added_lines) < count(""ithilfe"",removed_lines)
  | count(""verschiedenste"",added_lines) < count(""verschiedenste"",removed_lines)
  | count(""zeitgleich"",added_lines) < count(""zeitgleich"",removed_lines)
  | count(""hl."",added_lines) < count(""hl."",removed_lines) & count(""Hl."",added_lines) > count(""Hl."",removed_lines)
  | count(""heilige"",added_lines) < count(""heilige"",removed_lines) & count(""Heilige"",added_lines) > count(""Heilige"",removed_lines)
  | lcase(summary) rlike ""dumpf(?:backe|i\b)|blödsinn|chwachsinn|kacke|hausmeister""
  | removed_lines rlike ""(?:Guerr?ill|[eE]vakuier|Ausfallswinkel)""
)",35543,	Lustiger seth,	20181125143358,0,"	siehe [[WP:Missbrauchsfilter/4]]
taggen unnoetig wegen recht vieler false positives
2018-11-25 seth: sieht nicht so aus, als waere bechterev noch aktiv. :-) deswegen deaktiviert",	Logging von möglichen Aktivitäten durch Bechterev zur Optimierung entsprechender Block-Filter,0,8782,0,0,,0,	default
253,,2379,	Seewolf,	20190109131327,1,,	Bitte nicht so schnell,1,7728,0,0,"	throttle,disallow",0,	default
84,"	article_namespace == 0 
& user_age < 3600
& added_lines irlike ""\bdein{1,2}e[mr]? mudd+(a+|er|\b)""",39066,	MBq,	20181003091616,1,	[[Wikipedia:Bearbeitungsfilter/84]],	„Deine Mudda“-Artikel,0,7720,0,0,	disallow,0,	default
2,"	article_namespace % 2 == 1 
& edit_delta > 50 
& action == ""edit"" 
& ! (""autoconfirmed"" in user_groups )
& ! ( summary rlike ""\b[rR](?:ückgängig|evert)""
  | ""~~~~"" in added_lines)",492187,	Inkowik,	20150217162538,0,"	05.06.2013: als gelöscht markiert, da seit langem deaktiviert",	Unterschrift vergessen,0,7475,0,1,,0,	default
62,"	user_editcount < 500
& article_namespace == 0
& action == ""edit""
& ! ""bot"" in user_groups
& (  rcount(""[sS]chweizbezogen"", added_lines) != rcount(""[sS]chweizbezogen"", removed_lines) 
   | rcount(""[öÖ]sterreichbezogen"", added_lines) != rcount(""[öÖ]sterreichbezogen"", removed_lines)
   | rcount(""[lL]iechtensteinbezogen"", added_lines) != rcount(""[lL]iechtensteinbezogen"", removed_lines)
)",39066,	MBq,	20151120123337,0,"	Hinzufügen oder Entfernen von <!--schweizbezogen--> loggen, um potentielle Konfliktherde oder Men on a Mission frühzeitig zu erkennen.

auf Benutzer mit weniger als 500 edits limitiert, bis dahin sollte ein MoM erkannt sein.

vorübergehend deaktiviert wg. Bot on a Mission Hozro 4/12/2011
österreich|liechtenstein ergänzt, Bots ignorierend - xqt 31/01/2012

deaktiviert, siehe disk - MBq 20.11.2015",	schweiz|österreich|liechtensteinbezogen,0,7235,0,0,,0,	default
94,,35543,	Lustiger seth,	20151106113012,0,,	Logging für Astronomie-Artikel,1,6725,0,1,,0,	default
67,,2379,	Seewolf,	20181021175532,1,,	Einschränkung für neuangemeldete Benutzer auf Seiten mit hohem Trollaufkommen (sogenannte Honeypots),1,6616,0,0,"	warn,disallow",0,	default
